Player ▲,Nation,Pos,Squad,Comp,Age,Gls,Ast,Cluster,Cluster_Prob
Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,es La Liga,32,0.06,0.06,2,0.9999999999194658
Breel Embolo,ch SUI,"FW,MF",Monaco,fr Ligue 1,27,0.29,0.2,2,1.0
Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,21,0.55,0.12,2,0.9999929929067611
Julio Enciso,py PAR,"MF,FW",Ipswich Town,eng Premier League,20,0.21,0.31,2,0.9999999999994156
Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,eng Premier League,20,0.0,0.31,2,1.0
Khalil Fayad,fr FRA,"MF,FW",Montpellier,fr Ligue 1,20,0.0,0.0,2,1.0
Mattia Felici,it ITA,"MF,FW",Cagliari,it Serie A,23,0.0,0.29,2,0.9999999999997549
Zinedine Ferhat,dz ALG,"FW,MF",Angers,fr Ligue 1,31,0.21,0.0,2,0.9999999967470203
Roberto Férnandez,es ESP,FW,Espanyol,es La Liga,22,0.36,0.0,2,0.9999998958862718
Matias Fernandez-Pardo,be BEL,"FW,MF",Lille,fr Ligue 1,19,0.34,0.17,2,0.9999999953273537
Phil Foden,eng ENG,"MF,FW",Manchester City,eng Premier League,24,0.36,0.1,2,1.0
Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,19,0.28,0.23,2,0.999999999999087
Pablo Fornals,es ESP,"MF,FW",Betis,es La Liga,28,0.1,0.0,2,1.0
Enric Franquesa,es ESP,"DF,FW",Leganés,es La Liga,27,0.15,0.0,2,0.9999510952389482
Chris Führich,de GER,"MF,FW",Stuttgart,de Bundesliga,26,0.09,0.14,2,0.9999999962864798
Angelo Fulgini,fr FRA,"MF,FW",Lens,fr Ligue 1,27,0.09,0.09,2,0.9999999999999989
Manuel Fuster,es ESP,"FW,MF",Las Palmas,es La Liga,26,0.18,0.09,2,0.9999999999999245
Gianluca Gaetano,it ITA,"MF,FW",Cagliari,it Serie A,24,0.18,0.36,2,0.9838740003617759
Cody Gakpo,nl NED,FW,Liverpool,eng Premier League,25,0.47,0.19,2,1.0
Álvaro García,es ESP,"FW,MF",Rayo Vallecano,es La Liga,31,0.14,0.18,2,0.9999999999999996
Rubén García,es ESP,"FW,MF",Osasuna,es La Liga,31,0.19,0.19,2,0.9999999999733299
Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,eng Premier League,20,0.25,0.08,2,0.9999999999999485
Gavi,es ESP,"MF,FW",Barcelona,es La Liga,19,0.08,0.08,2,1.0
Yann Gboho,fr FRA,"MF,FW",Toulouse,fr Ligue 1,23,0.19,0.15,2,0.9999999999999991
Dennis Geiger,de GER,"MF,FW",Hoffenheim,de Bundesliga,26,0.0,0.0,2,0.9999999992524407
Bryan Gil,es ESP,"FW,MF",Girona,es La Liga,23,0.16,0.16,2,1.0
Jamie Gittens,eng ENG,"FW,MF",Dortmund,de Bundesliga,19,0.41,0.15,2,1.0
Aleksandr Golovin,ru RUS,"MF,FW",Monaco,fr Ligue 1,28,0.23,0.0,2,1.0
Moi Gómez,es ESP,"MF,FW",Osasuna,es La Liga,30,0.0,0.0,2,1.0
Unai Gómez,es ESP,"MF,FW",Athletic Club,es La Liga,21,0.07,0.21,2,0.9999999114508883
Nicolás González,ar ARG,"FW,MF",Juventus,it Serie A,26,0.15,0.1,2,0.9999999960081052
Mario Götze,de GER,"MF,FW",Eint Frankfurt,de Bundesliga,32,0.18,0.12,2,1.0
Amine Gouiri,dz ALG,"MF,FW",Rennes,fr Ligue 1,24,0.26,0.17,2,0.9993787166057871
Amine Gouiri,dz ALG,"FW,MF",Marseille,fr Ligue 1,24,0.86,0.26,2,0.9999999999999973
Jack Grealish,eng ENG,"FW,MF",Manchester City,eng Premier League,28,0.13,0.13,2,0.9999999994013677
Albert Grønbaek,dk DEN,"MF,FW",Rennes,fr Ligue 1,23,0.22,0.11,2,0.9988273851971179
