Player ▲,Nation,Pos,Squad,Comp,Age,Gls,Ast,Cluster,Cluster_Prob
Ben Brereton,cl CHI,FW,Southampton,eng Premier League,25,0.0,0.0,0,0.9949949511260102
Armando Broja,al ALB,FW,Everton,eng Premier League,22,0.0,0.0,0,0.9995948466951673
Jacob Bruun Larsen,dk DEN,"MF,FW",Stuttgart,de Bundesliga,25,0.22,0.0,0,0.9999986389003838
Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,de Bundesliga,25,0.45,0.45,0,0.9999999947602483
Tajon Buchanan,ca CAN,"DF,FW",Inter,it Serie A,25,0.0,0.0,0,0.9999992531816906
Emi Buendía,ar ARG,"MF,FW",Aston Villa,eng Premier League,27,0.0,0.0,0,1.0
Manu Bueno,es ESP,"MF,FW",Sevilla,es La Liga,20,0.63,0.0,0,1.0
Wes Burns,wls WAL,"FW,DF",Ipswich Town,eng Premier League,29,0.0,0.1,0,0.5743313442685704
Pau Cabanes,es ESP,"MF,FW",Alavés,es La Liga,19,0.0,0.0,0,0.9999999764903438
Pau Cabanes,es ESP,"MF,FW",Villarreal,es La Liga,19,0.56,0.0,0,1.0
Drissa Camara,ci CIV,"MF,FW",Parma,it Serie A,22,0.0,0.0,0,0.9932720369794994
Francesco Camarda,it ITA,"FW,MF",Milan,it Serie A,16,0.0,0.0,0,0.9999999995151789
Nicolò Cambiaghi,it ITA,FW,Bologna,it Serie A,23,0.14,0.43,0,0.9999026979125042
Peio Canales,es ESP,"MF,FW",Athletic Club,es La Liga,19,0.0,0.0,0,0.9999980979512305
Sergi Canós,es ESP,"MF,FW",Valencia,es La Liga,27,0.0,0.24,0,0.9999999915472442
Valentin Carboni,ar ARG,"MF,FW",Marseille,fr Ligue 1,19,0.0,0.0,0,1.0
Irvin Cardona,fr FRA,"FW,MF",Espanyol,es La Liga,26,0.15,0.15,0,0.9617914511659271
Marc Cardona,es ESP,"FW,DF",Las Palmas,es La Liga,29,0.0,0.0,0,1.0
Fabio Carvalho,pt POR,"FW,MF",Brentford,eng Premier League,21,0.39,0.2,0,0.9998541568385183
Gaetano Castrovilli,it ITA,"MF,FW",Lazio,it Serie A,27,0.0,0.0,0,1.0
Franco Cervi,ar ARG,"FW,MF",Celta Vigo,es La Liga,30,0.0,0.0,0,0.9999966483677339
Gabriel Charpentier,cg CGO,FW,Parma,it Serie A,25,0.33,0.67,0,0.9999999987139727
Sidiki Cherif,fr FRA,FW,Angers,fr Ligue 1,17,0.0,0.0,0,0.9999301161806854
Federico Chiesa,it ITA,FW,Liverpool,eng Premier League,26,0.0,0.0,0,0.9999985633975504
Chiquinho,pt POR,"MF,FW",Mallorca,es La Liga,24,0.0,0.0,0,1.0
Florinel Coman,ro ROU,"FW,MF",Cagliari,it Serie A,26,0.34,0.0,0,0.9999998504557409
Tomás Conechny,ar ARG,"FW,MF",Alavés,es La Liga,26,0.11,0.0,0,0.9999480662967404
Sirlord Conteh,de GER,"FW,MF",Heidenheim,de Bundesliga,28,0.1,0.1,0,0.9988420741983229
Maxwel Cornet,ci CIV,"FW,MF",Genoa,it Serie A,27,0.74,0.37,0,0.9999999999143263
Patson Daka,zm ZAM,"FW,MF",Leicester City,eng Premier League,25,0.12,0.0,0,0.9251141781193236
Danilo,br BRA,"MF,FW",Nott'ham Forest,eng Premier League,23,0.0,0.0,0,0.999999983423388
Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,27,0.91,0.0,0,0.9999999999988081
Bobby De Cordova-Reid,jm JAM,FW,Leicester City,eng Premier League,31,0.12,0.24,0,0.9831386772277361
Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,32,0.0,0.0,0,0.9999874578081465
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,eng Premier League,25,0.0,0.34,0,0.9999999999999858
Assane Diao,sn SEN,FW,Betis,es La Liga,18,0.32,0.65,0,0.9999999989394053
Krépin Diatta,sn SEN,"DF,FW",Monaco,fr Ligue 1,25,0.0,0.0,0,0.9706341431465828
Justin Diehl,de GER,"FW,DF",Stuttgart,de Bundesliga,19,0.83,0.0,0,1.0
Junior Dina Ebimbe,fr FRA,"MF,FW",Eint Frankfurt,de Bundesliga,23,0.0,0.3,0,0.9999997891460994
Marc Domenech,es ESP,"FW,MF",Mallorca,es La Liga,18,0.0,0.0,0,0.9999999053682762
Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,24,0.38,0.13,0,0.9996637667900616
Anastasios Douvikas,gr GRE,FW,Como,it Serie A,24,0.31,0.31,0,0.9783069685751443
Duk,cv CPV,"MF,FW",Leganés,es La Liga,24,0.0,0.0,0,0.999999999965306
Julien Duranville,be BEL,"FW,MF",Dortmund,de Bundesliga,18,0.0,0.0,0,0.9999999998533395
Milan Đurić,ba BIH,FW,Parma,it Serie A,34,0.33,0.0,0,0.9999954826993861
Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,eng Premier League,26,0.0,0.0,0,0.9999997882430869
Emmanuel Ekong,se SWE,"MF,FW",Empoli,it Serie A,22,0.0,0.0,0,0.9999947096916588
Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,30,0.16,0.48,0,0.9999999342489673
Meschak Elia,cd COD,FW,Nantes,fr Ligue 1,26,0.53,0.0,0,0.9999999999824709
Julio Enciso,py PAR,"MF,FW",Brighton,eng Premier League,20,0.0,0.0,0,0.9999739591768673
Endrick,br BRA,FW,Real Madrid,es La Liga,18,0.25,0.0,0,0.9999999999935909
Ansu Fati,es ESP,FW,Barcelona,es La Liga,21,0.0,0.0,0,0.9999999999165201
João Félix,pt POR,"FW,MF",Chelsea,eng Premier League,24,0.24,0.24,0,0.9999999617743623
Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,19,0.37,0.0,0,0.9999980666121167
Evan Ferguson,ie IRL,FW,West Ham,eng Premier League,19,0.0,0.0,0,0.9999999979651122
Valery Fernández,es ESP,"MF,FW",Mallorca,es La Liga,24,0.59,0.0,0,0.9999989064803511
Michael Folorunsho,it ITA,"FW,MF",Fiorentina,it Serie A,26,0.0,0.0,0,0.9987215941052937
Carlos Forbs,pt POR,"MF,FW",Wolves,eng Premier League,20,0.0,0.0,0,0.9999999805985136
Omari Forson,eng ENG,"MF,FW",Monza,it Serie A,20,0.0,0.0,0,0.9999999914812294
Niclas Füllkrug,de GER,FW,West Ham,eng Premier League,31,0.34,0.23,0,0.8059350290443469
Kyogo Furuhashi,jp JPN,FW,Rennes,fr Ligue 1,29,0.0,0.0,0,0.9999987026546058
Alessandro Gabrielloni,it ITA,"FW,MF",Como,it Serie A,30,0.63,0.63,0,1.0
Ignatius Ganago,cm CMR,"FW,MF",Nantes,fr Ligue 1,25,0.0,0.0,0,0.9999990368579292
Silvère Ganvoula M'Boussy,cg CGO,FW,Monza,it Serie A,28,0.0,0.0,0,0.9994608211348982
Tyrique George,eng ENG,FW,Chelsea,eng Premier League,18,0.5,0.5,0,1.0
Rodrigo Gomes,pt POR,"DF,FW",Wolves,eng Premier League,21,0.22,0.0,0,0.8743875160176345
